iteration,error_l2,error_relative,mix
0,63.521474765941356,0.8914704540726548,0.3
1,59.01124947845841,0.7593571239245293,0.3
2,28.941579349493416,0.3986500439128752,0.15
3,26.73645094629157,0.38892917996614496,0.15
4,24.700824744244084,0.3537858957013859,0.15
5,23.280703959102887,0.30308003933204636,0.15
6,20.579134884413534,0.2347874627655898,0.15
7,17.122647111725573,0.17262088100667458,0.15
8,10.82862958071258,0.10607134004188683,0.075
9,7.419089842764404,0.06902636743151265,0.075
10,6.410160133904427,0.06121959473619666,0.0375
11,3.6222524478212725,0.0337520489056332,0.0375
12,3.2377786668421487,0.03066187580964485,0.01875
13,2.0594906018988284,0.019333937896624055,0.01875
14,1.7334099405318617,0.016381879773602594,0.009375
15,1.679217286597627,0.015974442785984512,0.009375
16,0.8595047482706812,0.008202078153559297,0.0046875
17,0.821217028530925,0.007861404798111083,0.0046875
18,0.42429120030767864,0.00406783870848162,0.00234375
19,0.26268148638116595,0.0025157284488179815,0.00234375
20,0.22784265308019547,0.002178684555897214,0.00234375
21,0.11185762600455207,0.0010688028112113442,0.001171875
22,0.10518095933375526,0.0010053926833026121,0.0005859375
23,0.05598895904235782,0.000534981999834401,0.0005859375
24,0.05293331002647134,0.0005058803948640695,0.00029296875
25,0.02652987621790343,0.0002535682873021127,0.000146484375
